Date,Value
2013-09-08,630089.545296
2013-09-07,2058154.91245
2013-09-06,1671586.6833
2013-09-05,3558189.52271
2013-09-04,999690.993922
2013-09-03,1577335.62095
2013-09-02,1084020.80584
2013-09-01,1836451.86975
2013-08-31,2420599.19249
2013-08-30,1673618.20412
2013-08-29,1231358.90848
2013-08-28,1313735.33897
2013-08-27,2393060.75745
2013-08-26,974240.889234
2013-08-25,927782.878554
2013-08-24,483357.366862
2013-08-23,1310236.09211
2013-08-22,1576756.03376
2013-08-21,2178352.13823
2013-08-20,1250208.59202
2013-08-19,1879331.07289
2013-08-18,494040.7063
2013-08-17,524028.044985
2013-08-16,808676.273788
2013-08-15,1071052.50588
2013-08-14,2073928.98617
